competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded
23-407,ITT,Annacis Island Wastewater Treatment Plant (AIWWTP) Emergency Sanitary Sewer and Maintenance Holes Rehabilitation,3-Jun-24,Clearway Construction Inc.,NA,No
23-415,RFP,Kennedy Newton Main - Contract 3A - Kennedy Newton Reservoir to 88th Avenue and 120th Street,3-Jun-24,Matcon Civil Constructors Inc.,"$26,140,200",Yes
23-415,RFP,Kennedy Newton Main - Contract 3A - Kennedy Newton Reservoir to 88th Avenue and 120th Street,3-Jun-24,Michels Canada Co.,NA,No
24-177,SS/NOIC,Fire Alarm Devices Node Upgrade - Annacis Island Waste Water Treatment Plant,4-Jun-24,Siemens Canada Ltd.,"$250,350",Yes
24-146,SS/NOIC,Project Support Financial Services for the North Shore Wastewater Treatment Plant,7-Jun-24,Deloitte LLP,"$2,281,268",Yes
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Ausenco Engineering Canada Inc.,"$4,750,000",Yes
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,MTS Engineering Inc.,,Yes
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Tetra Tech Canada Inc.,,Yes
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,WSP Canada Inc.,,Yes
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,InSynch Engineering,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,EMB Management Ltd.,NA,No
23-067,RFP-MA,"Electrical, Instrumentation and Control (EIC) Consulting Engineering Services for Liquid Waste Services Collection Systems",12-Jun-24,Clean Energy Consulting Inc.,NA,No
